"Gene"	"TCGA_TCGA-D9-A148"	"TCGA_TCGA-DA-A3F2"	"TCGA_TCGA-EE-A2GS"	"TCGA_TCGA-EE-A3JI"	"TCGA_TCGA-ER-A2NF"	"TCGA_TCGA-ER-A2NG"	"TCGA_TCGA-FR-A3YN"	"TCGA_TCGA-FR-A3YO"	"TCGA_TCGA-FR-A69P"	"TCGA_TCGA-FR-A7U9"	"TCGA_TCGA-FR-A8YD"	"TCGA_TCGA-GN-A4U4"	"TCGA_TCGA-GN-A4U9"	"TCGA_TCGA-GN-A8LK"	"TCGA_TCGA-GN-A8LN"	"TCGA_TCGA-QB-AA9O"	"TCGA_TCGA-WE-A8K5"	"TCGA_TCGA-WE-AAA0"	"TCGA_TCGA-WE-AAA4"
"A1BG"	362.8904	319.1968	490.9347	229.8379	272.131	89.4554	201.3733	365.3634	180.1957	216.3575	307.8086	200.4303	185.3061	888.0029	271.291	844.2197	237.8089	307.9712	320.5249
"A2M"	143986.5599	51435.7229	17546.1929	4089.7681	56959.2357	165348.8119	27758.3561	73306.2206	18077.8381	6534.1816	23842.2563	16765.1485	3267.8053	12154.7709	52551.585	53383.3627	19209.596	46008.8881	107835.8343
"A4GALT"	65.0692	1365.4618	73.2938	21.9451	33.509	54.4554	30.5499	130.3258	145.0178	387.5668	60.8387	34.8783	58.1894	150.5065	48.5726	77.9637	154.2347	74.1832	229.8343
"AAAS"	982.2899	1447.7912	1365.8754	451.1222	1009.7892	748.6896	636.3107	1940.8521	853.2028	1146.1875	2139.3975	992.4457	1157.0905	1051.1336	1012.3562	1148.7715	868.6869	921.397	1297.2376
"AACS"	612.9012	548.1928	656.3798	138.1546	362.9518	555.9115	693.6282	2552.8822	640.5694	408.4507	533.9634	828.2711	585.662	561.9875	397.1027	341.2901	352.3699	524.8288	978.453
"AADAT"	58.2498	13.0522	115.4303	0.7481	7.1536	52.417	43.3518	5.0125	366.1032	60.2234	29.5334	3.8754	409.8378	23.1548	203.6643	30.2308	188.0342	26.3454	1.6575
"AAGAB"	1305.0789	411.6466	1150.7418	1058.6035	803.4639	926.325	649.6945	567.9198	1137.4555	1251.0928	467.8086	723.9886	1544.3223	1492.5229	627.1836	1244.2372	806.9153	1058.3239	844.7514
"AAK1"	962.9681	899.5984	597.0326	873.0673	379.8946	1153.1741	1253.1277	557.3935	464.4128	924.2351	307.1471	438.6208	970.382	991.7993	453.3447	665.8738	496.115	702.3139	761.8785
"AAMP"	6193.5128	3191.7671	3218.3976	2979.8005	2674.3223	2831.392	3614.1984	5049.6241	2265.5694	3171.4424	4202.5989	2377.7124	2561.1722	3739.508	2663.8262	4214.8139	2650.7382	2348.5571	4016.0221
"AANAT"	1.4207	5.0201	1.1869	0	0.753	0.2912	0.291	1.5038	0	4.3711	2.9533	0.3523	0.4186	0	0.4261	0	0.777	0.3467	2.2099
"AARS"	2599.0761	6378.5141	5455.4896	3012.9676	6464.2319	3145.894	3646.494	8835.0877	3857.2064	4071.3939	13191.9669	4666.9961	1664.8875	6517.1249	3565.4026	2202.8727	3723.3877	3028.6853	8748.0663
"AARS2"	1744.5293	570.2811	1747.0267	1110.1945	2238.9797	1054.1176	936.238	1835.5539	751.7126	566.2943	3604.1465	779.9735	1653.4003	2151.8186	782.1602	1617.3095	1410.8197	588.5848	1447.4641
"AARSD1"	826.5784	593.3735	851.9288	700.2494	698.7952	339.5457	846.6686	742.3559	741.9929	771.7339	958.0626	802.9051	585.662	872.1659	530.8905	969.7731	885.0039	672.5019	831.4917
"AASDH"	119.341	56.2249	257.8635	471.0723	242.8464	203.5527	535.6415	48.1203	278.0249	152.5012	80.9214	360.0566	221.4547	122.5277	197.6992	37.3908	217.5602	283.9068	100
"AASDHPPT"	1010.1362	226.9076	1554.5994	1966.818	1639.2884	598.7187	860.6343	563.9098	1372.331	935.8912	535.7354	2037.7161	1105.1805	383.0198	1596.4508	493.2398	1034.965	523.4422	317.6796
"AASS"	364.8424	23.0924	316.0237	469.0773	240.5873	372.452	592.668	352.381	796.2633	230.6945	258.7123	690.8718	900.0523	139.4115	1540.2642	421.6405	844.2113	351.1569	90.6077
"AATF"	3573.41	2467.8715	2064.095	2209.9751	1805.7229	1011.0658	2888.2747	2272.1805	1274.0214	2069.4512	3102.1855	1842.5598	1769.1261	3854.3174	1420.9629	2026.261	1931.2354	2041.0781	3671.2707
"AATK"	408.3166	84.3373	80.1573	69.5761	260.9488	193.9429	1605.4699	104.2607	72.0641	20.8839	313.6444	52.1413	128.6279	1138.273	302.9399	394.8942	1137.467	76.6098	2188.3204
"ABAT"	40.6328	198.7952	18.9911	47.1322	44.0512	79.2079	34.3323	43.609	48.9324	41.7678	27.1707	9.8646	168.7075	43.4153	155.0916	19.8887	30.6915	54.7708	66.2983
"ABCA1"	1125.7833	1951.8072	375.0712	116.187	1375	1763.5323	1501.8854	290.2155	284.2527	534.7207	330.7738	354.7438	298.8885	68.4998	335.7265	264.122	1076.8998	923.8132	630.9337
"ABCA10"	1.1366	0	4.451	2.4938	1.1295	0.8736	20.0756	0	6.6726	3.8854	1.1813	15.1492	2.0931	13.507	224.1159	1.5911	40.0155	38.8249	0.5525
"ABCA11P"	35.6915	21.9277	47.5579	93.9252	12.82	23.7915	71.5828	18.2707	243.2651	63.4871	80.1477	51.5776	390.9869	33.2947	53.0124	39.9445	89.7125	30.682	34.4199
"ABCA13"	3.1256	1.004	8.9021	1.7456	2.6355	17.7635	13.0928	7.0175	97.8648	18.4556	30.124	3.5231	703.2967	3.8591	44.3119	7.1599	1.9425	12.4794	7.1823
"ABCA2"	756.6787	3767.0683	152.5223	1412.7182	237.1988	1476.1211	1447.7742	1663.1579	331.4057	851.3842	1317.1884	1168.5986	583.5688	1421.6112	1639.9659	634.8474	1761.4608	856.5734	1565.1934
"ABCA3"	2486.2705	217.8715	493.4718	1366.5835	277.4849	226.8492	502.1821	31.0777	130.7829	165.6144	4197.2829	623.5814	116.3789	546.5509	848.7431	1470.1729	122.7661	1507.2363	320.9945
"ABCA4"	28.1304	6.0241	3.5608	2.2444	0.3765	0.2912	4.6552	5.0125	4.4484	0.9713	2.9533	0.7046	15.0706	2.412	2.9825	3.1822	1.554	0.6933	4.9724
"ABCA5"	440.4251	19.0763	238.8724	2.9925	366.3404	404.7758	1475.7056	23.5589	96.5302	25.255	62.0201	376.9673	219.3616	301.9778	610.1406	116.9456	771.1733	1121.0677	77.9006
"ABCA6"	17.0487	57.2289	59.9407	154.3641	3.7651	18.0547	31.7137	0	40.4804	91.7921	3.544	285.3678	2.5118	1.4472	292.288	22.2753	70.7071	25.9988	3.3149
"ABCA7"	317.3902	1336.3454	165.5786	322.1945	119.3524	201.8055	261.2744	468.1704	35.1423	203.0112	456.5859	298.0508	174.5683	617.945	126.1184	979.3197	333.3333	1268.7408	1245.3039
"ABCA8"	3.1256	5.0201	759.6439	4991.2718	7.1536	0.2912	0	0	1798.9324	4.8567	42.5281	480.5452	5.4422	1.9296	308.0528	129.6743	4.2735	10.7462	0.5525
"ABCA9"	6.2512	82.3293	44.8071	69.8254	146.8373	2.6209	28.5132	0	355.8719	22.3409	5.9067	41.2198	10.4657	6.2711	142.3093	7.1599	571.8726	16.9859	4.9724
"ABCB1"	44.8949	83.3333	10.6825	7.2319	35.7681	129.2953	142.8571	189.9749	12.9004	23.3123	8.2693	11.6261	13.8148	11.095	9.7997	27.0486	13.209	45.4112	48.6188
"ABCB10"	177.5907	60.241	745.9941	483.5411	521.8373	174.7234	429.1533	51.6291	776.2456	305.4881	132.3095	891.3339	459.236	139.4115	466.127	318.2192	460.373	746.6852	93.3702
"ABCB4"	359.1595	45.1807	4.451	3.2419	4.1416	38.1479	517.8935	92.2306	116.9929	16.9985	0.5907	3.1708	246.5725	89.2426	278.2275	348.4501	56.3326	53.7308	169.6133
"ABCB5"	3991.3876	94.3775	448.6647	1754.1147	6424.6988	306.6395	126.2729	441.1028	740.2135	0.9713	2196.6923	2.8184	2.5118	376.2663	487.4308	2786.805	2390.4429	160.8458	694.4751
"ABCB6"	1705.3855	519.2068	770.0534	980.9152	1308.0233	559.1002	827.073	2029.2381	764.6753	713.3803	2637.2711	793.9143	771.5458	2345.8852	658.4874	692.5087	1491.3908	478.7555	683.453
"ABCB7"	497.2541	191.7671	836.7953	638.9027	125	355.562	499.2726	144.8622	279.3594	496.3575	96.2788	250.1372	711.6693	251.809	394.9723	260.1442	493.784	411.8208	135.9116
"ABCB8"	1572.1754	1660.6426	800	409.2269	1631.0241	1179.0914	1388.1292	3782.9574	728.6477	1752.7926	3663.9102	740.8993	995.4997	2574.0473	486.5786	1810.6675	2137.1406	883.9587	2880.1105
"ABCB9"	285.3017	118.4337	144.9911	196.995	66.122	276.1357	159.7992	1141.3784	139.0703	609.1161	356.3792	175.9451	151.4683	250.7525	209.0413	321.7117	145.4002	212.4794	506.4199
"ABCC1"	1859.162	1936.747	1027.2997	694.015	487.5753	1616.4822	1008.4376	2796.4912	705.0712	1051.4813	656.8222	860.331	2567.4516	1159.1896	848.7431	203.6603	696.1927	986.9139	1127.0718
"ABCC10"	770.8859	939.759	796.1424	697.7556	629.5181	640.3611	388.7111	1139.8496	922.5979	753.764	3115.1802	558.4048	981.685	1323.2031	908.8198	1494.0394	556.7211	754.6581	925.9669
"ABCC11"	251.4685	0	12.1662	738.9027	7262.8012	1.7472	43.0608	10.0251	129.8932	1.457	10.632	135.9901	0.4186	3.3767	14.0605	13.5243	64.8796	168.4721	22.6519
"ABCC2"	456.3372	3.012	38.2789	1624.1895	27.4849	65.8125	43.6427	426.5664	69.395	0.9713	2122.8588	83.1442	10.4657	943.5601	58.3724	93.0791	363.6364	904.0645	207.1823
"ABCC3"	48.0205	837.3494	5.3412	9.4763	4.8946	199.767	68.3736	85.213	12.9004	336.5712	249.2617	23.6045	27.2109	1.4472	33.66	29.4353	26.418	94.2889	227.6243
"ABCC4"	342.1108	153.6145	165.2819	28.1796	185.241	338.9633	265.9296	50.6266	564.5018	220.9811	178.9722	23.2522	390.1622	54.028	16.617	10.3421	38.073	307.479	91.7127
"ABCC5"	1372.7054	905.6225	496.1424	1408.9776	2111.0693	905.6494	1166.1333	1746.3659	1891.4591	531.8116	3209.0963	2443.9459	1324.9608	854.7998	1407.7546	505.1731	974.359	1954.0688	325.4144
"ABCC6"	1.4207	9.0361	1.7804	0.9975	0.3765	1.7472	2.3276	7.5188	0.4448	7.2851	63.7921	0	7.954	0.9648	1.2782	1.5911	0.3885	0	1.6575
"ABCC9"	68.1948	68.2731	242.4332	35.4115	41.7922	27.0821	9.0195	9.0226	259.7865	67.0228	31.896	51.4367	31.8158	38.109	25.5646	17.5021	54.3901	32.9318	16.0221
"ABCD1"	4393.453	3342.3695	721.0682	829.4264	4448.7952	8474.6651	2851.9057	22171.4286	255.7829	924.2351	1708.8009	674.3135	333.2287	5865.8948	960.801	4077.1841	2936.2859	5224.0229	15987.8453
"ABCD2"	5.6829	20.0803	4.1543	4.7382	14.3072	34.9447	13.0928	0.5013	9.7865	11.6561	1.772	6.3415	5.8608	0	2.5565	11.1377	5.439	13.1727	5.5249
"ABCD3"	1103.3358	98.3936	1131.1573	2213.7157	1024.4729	469.1322	1979.3424	227.5689	927.0463	457.018	455.9953	1378.2206	795.3951	290.8828	1210.9075	176.6117	1170.1632	1215.3566	260.221
"ABCD4"	596.7049	769.0763	868.546	608.9776	487.1988	583.2848	540.0058	392.4812	1177.9359	647.8873	404.0165	640.8444	769.0215	325.6151	593.9497	961.8177	1084.3046	690.8744	408.8398
"ABCE1"	656.6595	403.6145	2962.6113	2284.788	1435.994	1692.7781	1752.9823	367.9198	3865.2135	1755.221	584.1701	2052.8864	2179.3825	646.4062	1901.5765	894.9916	2062.5486	1497.1835	386.1878
"ABCF1"	2419.7805	2443.7751	5501.7804	1991.7706	3379.8946	2935.3524	2795.4612	4020.0501	4846.9751	2391.4522	6255.1683	1259.1412	8248.6656	4928.6059	2385.5986	2035.8076	4627.8166	3164.2257	6937.5691
"ABCF2"	2299.5871	1567.2691	2344.5104	1209.4763	2410.7681	1847.1171	2787.0236	4792.4812	2145.4626	2476.9305	3983.4613	1515.6199	3596.023	2635.7935	1370.2599	2152.7532	3332.1678	1704.4805	3012.7072
"ABCF3"	1703.1663	2095.3815	823.7389	991.2718	1272.2139	1345.661	1504.8007	3088.2206	836.2989	1356.4837	2652.0969	826.5096	579.8012	1895.3208	1111.6319	1291.9701	1044.6775	1496.4902	1802.2099
"ABCG1"	2324.876	4789.1566	364.6884	54.3641	4103.5392	405.3582	136.4562	176.4411	133.452	395.8232	173.0656	39.8106	154.8927	44.3801	166.1696	785.206	106.0606	299.506	485.0829
"ABCG2"	44.3267	26.1044	113.9466	63.3416	26.7319	13.9779	45.3884	32.0802	45.3737	29.1404	27.7614	21.1384	12.9775	13.507	38.7729	151.9497	21.756	45.7579	58.5635
"ABHD1"	3.6939	11.0442	8.6053	0.7481	2.259	0.8736	22.6942	58.1454	2.669	3.3997	5.316	2.4661	12.9775	6.7535	16.1909	3.9777	1.1655	3.8132	11.6022
"ABHD10"	625.6877	239.9598	819.2878	678.803	467.6205	1015.4339	628.455	353.8847	603.6477	431.2773	355.5818	602.0908	469.7017	863.9653	753.7282	658.7138	713.6752	500.2167	250.2762
"ABHD11"	305.1719	369.4779	246.2908	183.5411	600.1506	173.8497	205.7026	959.8997	223.7544	530.8402	1412.2859	302.6308	369.6494	699.9518	279.5058	656.3272	1364.8019	110.2349	487.2928
"ABHD12"	2319.4772	7177.7108	815.1335	1400.7481	2150.2259	1731.5084	1798.3707	5585.9649	1610.3203	1830.5002	4077.3774	1129.4927	1915.2276	3890.0145	801.8747	2796.3516	1696.1927	2165.179	3974.5856
"ABHD13"	197.4809	163.6546	596.4392	743.3915	305.7229	272.8596	292.9881	225.5639	1037.3665	206.8966	184.8789	564.394	622.5013	149.0593	866.2122	547.3371	454.934	494.3236	224.8619
"ABHD14A"	485.32	1198.7952	789.6142	92.7681	408.8855	168.608	355.5426	1000.5915	301.7082	270.034	1401.8311	202.9282	175.4055	588.5191	308.0528	368.3388	340.4545	348.0406	441.4365
"ABHD14B"	4674.7568	4480.9237	3172.4036	1045.6359	3071.1596	1318.2877	1942.1007	4063.6591	1599.1993	1203.0112	9827.5251	3681.5965	603.663	5227.2069	2976.1398	1136.8383	1714.8407	1962.3884	2780.663
"ABHD15"	1579.5631	917.6707	318.1009	269.5761	203.6898	341.0017	815.2459	494.2356	333.6299	341.4279	391.6125	234.6357	79.9581	179.9325	234.7678	624.5053	277.3893	382.7021	890.6077
"ABHD2"	4664.5275	4256.0241	2076.8546	2372.5686	835.8434	9768.7828	2654.0588	4130.3258	2840.3025	6372.9966	2953.9279	1483.5601	895.4474	5447.6604	2158.5002	1834.5339	1846.9308	7008.9263	2413.8122
"ABHD3"	113.6581	152.6104	144.5104	457.8554	217.6205	235.0029	192.9008	83.7093	194.8399	320.0583	97.4601	282.9016	136.4731	150.9889	162.3349	289.5795	191.9192	384.782	156.9061
"ABHD4"	898.7513	2209.8394	551.9288	936.6584	904.744	785.9639	1006.11	2200.5013	598.7544	424.4779	1468.99	865.9679	400.2093	1253.2562	369.8338	910.9026	462.704	1038.2182	1873.4807
"ABHD5"	455.4847	151.6064	479.2285	792.02	235.6928	388.7595	450.1018	324.3108	245.5516	422.0495	453.6326	397.7533	187.9644	529.6671	452.4925	289.5795	352.3699	459.3119	288.3978
"ABHD6"	1372.4213	247.992	67.3591	1062.3441	585.0904	501.456	556.59	857.6441	157.9181	204.9539	204.3709	109.9194	88.7493	1160.6368	348.104	525.8573	190.3652	672.5019	448.0663
"ABHD8"	394.9618	1084.3373	196.1424	296.2594	153.6145	301.1066	216.4678	674.1855	145.9075	441.9621	232.723	119.4317	375.5102	711.5292	353.6429	684.9669	193.8617	370.916	649.1713
"ABI1"	1243.2944	646.5863	562.2255	1637.6559	2416.5361	1170.3553	1009.6014	238.5965	945.5961	988.1544	1262.1441	2072.6085	762.3443	508.8712	1481.176	1089.5827	1714.596	1355.4277	653.989
"ABI2"	965.5254	339.3574	1590.2077	2147.3815	768.4488	1166.5696	2358.4521	593.4837	2526.6904	1234.5799	862.9652	1202.7723	2773.8357	915.5813	1851.7256	1354.8184	949.1064	1167.1722	498.895
"ABI3"	136.3897	3706.8273	136.4985	128.4289	164.9096	419.6273	113.4711	197.4937	81.4057	467.2171	155.9362	48.6182	100.471	60.7815	152.1091	248.211	186.4802	149.0597	1560.7735
"ABI3BP"	103.9971	318.2731	362.0178	4.4888	19.5783	25.9173	96.014	2.005	765.1246	492.4721	33.668	67.995	26.7923	0.4824	125.6924	40.573	232.3232	164.659	27.6243
"ABL1"	2110.9147	5045.1807	1885.1632	3074.0648	5332.0783	4091.7298	2131.801	2252.6316	1852.3132	1906.2652	3332.5458	1595.5934	2494.1915	2180.8973	1773.7537	1727.9305	3400.5439	3062.3104	3155.2486
"ABL2"	1938.4385	393.5743	1392.2849	4012.4688	1001.506	3191.0309	4371.545	960.401	4478.2028	1015.0559	5152.9829	2323.4573	949.0319	2397.0092	1855.5603	1214.0064	2768.4538	3498.3967	4028.7293
"ABLIM1"	265.9599	452.8112	173.2938	79.3017	207.8313	282.7606	369.2173	60.1504	753.1139	156.3866	590.6675	1980.3114	1502.0408	169.8022	172.1346	1297.539	107.6146	825.7215	417.6796
"ABLIM2"	23.8682	72.2892	8.9021	3.2419	51.2048	6.9889	16.8752	23.0576	24.4662	9.2278	36.6214	18.3199	33.9089	165.9431	7.6694	313.446	29.9145	9.0129	22.6519
"ABLIM3"	1123.5101	526.1044	618.6944	44.8878	56.0994	1054.7467	560.6634	260.6516	112.9893	1576.0078	2729.4743	182.8468	42.2815	86.3483	653.1743	119.3322	1204.3512	1009.0996	833.1492
"ABR"	619.1524	7425.7028	3324.9258	3985.2868	18903.238	2019.802	1724.469	4339.3484	2960.4093	3007.7708	10369.7578	5776.055	830.5599	11680.6561	3856.8385	4170.2632	5439.3939	2352.0236	6420.442
"ABT1"	827.4308	894.5783	1133.5312	730.6733	810.241	695.1077	519.3483	1223.0576	1481.7616	855.7552	1512.1087	1420.8496	1994.3485	1515.1954	878.1423	1189.3444	1232.7117	1021.9256	907.1823
"ABTB1"	639.895	2130.5221	380.7122	754.8628	624.6235	520.6756	650.8583	1182.4561	291.3701	464.3031	500.886	534.0957	275.8765	753.4973	984.6613	750.2019	566.4336	895.0516	980.663
"ABTB2"	1145.9576	45.1807	1137.3887	1441.6459	554.5934	1207.9208	819.3192	151.3784	1009.7865	329.7717	811.5771	1011.4702	74.9346	227.2069	1277.8014	513.1285	638.3061	616.6912	344.7514
"ACAA1"	1938.7227	1753.012	1238.2789	960.5985	909.6386	774.6069	867.0352	3144.8622	737.0996	1302.5741	1137.0348	820.5204	472.2135	2215.6295	742.2241	1657.1267	1803.8073	1200.104	1543.6464
"ACAA2"	787.6505	1192.7711	1422.2552	1599.0025	1188.6295	884.3914	1080.5935	402.5063	933.7189	1581.8358	784.997	668.3243	955.3114	638.2055	906.6894	739.8597	1099.8446	556.0274	1053.0387
"ACACA"	2382.8416	596.3855	1551.9288	1517.9551	1251.8825	691.0309	2429.1533	1031.0777	1825.6228	888.781	1525.694	1477.5709	1775.4055	1292.8123	1206.2207	765.3173	803.0303	1223.3296	1220.9945
"ACACB"	688.4838	513.0522	183.3828	15.212	266.1898	424.2865	593.5409	855.1378	102.758	126.7606	489.0727	89.838	276.7138	12.5422	536.0034	61.2572	463.0925	531.7619	468.5083
"ACAD10"	766.6237	567.2691	253.1157	213.7157	721.762	497.0879	773.0579	1651.6291	552.9359	428.3633	709.9823	538.6757	390.5808	770.3811	878.9945	603.0255	491.453	730.7392	619.8895
"ACAD8"	648.1352	358.4337	529.0801	501.995	199.5482	280.1398	343.0317	1097.2431	323.8434	489.0724	533.3727	452.7131	348.7179	552.3396	673.6259	179.7939	436.6744	281.8268	290.0552
"ACAD9"	992.235	985.9337	980.4095	700.4913	902.4849	965.0553	617.9779	2148.8722	760.6762	1092.7198	1224.4477	815.7009	476.3998	1052.576	1102.7908	966.5591	1315.878	777.1869	699.4475
"ACADM"	1252.7962	142.5703	909.4955	1236.9077	803.8404	782.7606	2074.7745	251.6291	628.1139	560.9519	331.9551	1351.0931	836.4207	541.2446	817.6395	438.347	627.0396	1545.0212	376.2431
"ACADS"	619.1524	1462.8514	920.178	138.6534	864.4578	650.5533	467.268	1383.9599	337.6335	360.3691	1629.6515	329.7583	82.0513	1960.4438	633.1487	1018.3016	527.5835	493.2836	1575.6906
"ACADSB"	645.2937	67.2691	254.0059	484.0399	793.6747	462.7257	400.3491	63.1579	230.427	336.5712	103.9575	623.5814	233.595	266.7631	441.8406	365.9521	270.0078	390.6751	107.7348
"ACADVL"	1690.6639	6473.8855	2299.9436	3493.197	2606.9202	1792.6616	1576.0809	6828.0702	1953.6922	6484.2156	3656.8222	3545.5325	2685.8985	4878.905	6299.8509	5334.9456	3889.6465	2616.511	8919.7459
"ACAN"	3.978	78.3133	277.7448	0.7481	1.1295	16.0163	9.3104	424.0602	165.4804	71.8796	13.5854	19.7291	436.2114	296.6715	46.4423	15.1154	35.3535	8.6663	214.9171
"ACAP1"	72.1729	2774.0964	56.9733	38.6534	145.7078	443.7973	164.6785	44.6115	28.4698	368.1399	79.1494	76.4504	68.2365	13.507	56.6681	205.2514	135.5866	318.9185	905.5249
"ACAP2"	857.5502	316.2651	1351.9288	1756.3591	932.9819	1152.8829	1162.3509	155.3885	1234.8754	552.2098	574.7194	1527.246	822.606	427.3999	1161.0567	568.0214	952.2145	1178.265	213.8122
"ACAP3"	694.7435	1437.7711	497.6617	698.3167	634.4127	1224.2545	769.8894	736.8421	601.4235	1417.2851	1425.3455	965.7444	1422.9199	1994.0425	1103.3106	665.1021	1029.2618	879.4696	993.4475
"ACAT1"	324.778	620.4819	1053.4125	1888.0299	2463.8554	774.6069	505.0916	1911.7794	516.0142	1039.8252	945.6586	468.5668	593.6159	818.6204	1048.9987	756.5663	1334.1103	558.8006	495.0276
"ACAT2"	392.2283	139.8695	151.7596	1104.6708	184.2395	834.1846	342.7349	301.4436	469.5463	355.5415	168.6887	201.9171	466.2941	1551.2783	246.2889	447.5833	69.6931	587.3542	308.1271
"ACBD3"	989.9619	456.8273	1917.5074	1291.0224	1847.1386	964.7641	2320.6285	331.8296	2155.2491	773.6765	707.0289	1865.1074	1897.6452	1029.426	1361.7384	287.1929	1051.2821	2122.5409	1140.3315
"ACBD4"	854.4246	331.3253	149.8516	204.9875	128.3886	157.251	542.6244	274.1855	102.758	169.4998	118.7242	264.5817	56.5149	232.9957	321.2612	340.4946	113.8306	177.1384	203.8674
"ACBD5"	598.9781	115.4618	249.5549	661.596	711.9729	631.9161	627.0003	70.6767	456.4057	631.3745	210.8683	742.3085	546.3108	437.5301	527.908	513.9241	730.7692	771.9906	159.116
"ACBD6"	480.2054	522.0884	1084.273	435.4115	593.75	423.1217	471.3413	715.7895	850.089	399.7086	1284.111	953.692	990.0576	1043.4153	936.9408	325.3792	975.136	471.098	739.779
"ACCS"	187.5358	195.7831	200.8902	297.7556	364.8343	190.7397	89.0311	173.4336	112.0996	101.0199	317.7791	567.5648	196.7556	133.6228	347.2518	73.1904	902.8749	462.7784	175.6906
"ACD"	363.1376	950.8032	596.1424	284.5387	194.2771	445.8358	284.2595	893.7343	351.4235	854.2982	437.0939	233.9311	835.5835	918.4756	669.7912	691.3313	552.4476	606.6384	830.9392
"ACE"	285.8501	3422.6908	197.3294	123.4414	378.012	531.7414	86.1216	642.1053	216.637	771.7339	948.6119	98.6456	261.2245	88.7603	56.242	231.5045	134.0326	147.6731	1286.1878
"ACER2"	78.4241	6.0241	6.5282	44.1397	37.2741	12.813	43.0608	8.0201	34.6975	15.0559	25.3987	24.3091	34.3276	4.3415	19.1734	2.3866	9.324	19.7591	4.4199
"ACER3"	536.4661	256.0241	814.2433	517.4564	1777.4849	407.6878	247.8906	300.7519	375.4448	250.6071	219.7283	573.554	151.5437	279.7877	459.3098	344.4723	283.9938	145.9399	269.0608
"ACHE"	15.628	31.1245	22.2552	181.2968	3.012	21.8404	8.4376	25.5639	109.8754	21.3696	40.1654	21.1384	275.4579	53.5456	7.2433	95.4658	24.087	44.3713	118.232
"ACIN1"	2307.5431	3179.7189	3801.7804	3288.5287	2350.5271	3149.0973	3848.7053	3568.9223	4829.1815	3782.4186	3564.0874	3978.5904	4424.9084	3817.1732	2457.6055	3010.3541	4586.2471	3404.4545	3469.0608
"ACLY"	5900.8433	2480.9237	6835.905	4946.8828	3134.0361	5169.7729	8008.7285	2986.4662	8581.4057	3800.3885	6053.7507	7221.2137	4738.0429	4049.6864	3944.1841	2748.6187	3189.5882	3750.065	4730.3867
"ACN9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACO1"	1569.9022	1474.8996	468.546	389.5262	752.259	1871.8695	1375.0364	1922.807	470.6406	997.086	767.277	673.2565	460.0733	971.5388	565.4026	536.995	379.9534	603.5185	1292.8177
"ACO2"	9667.9636	6112.249	3134.6172	2532.1022	8301.4608	10110.0146	3326.8548	12369.5288	2654.3283	2383.7203	22468.1158	3973.7884	1541.865	13690.3811	5790.3877	4336.9226	4005.1826	4227.7806	5551.326
"ACOT1"	596.7049	1296.1847	594.6588	409.4763	397.5904	626.092	326.1565	553.3835	439.5018	391.9378	820.4371	630.2752	208.0586	730.8249	265.8713	599.0477	994.9495	580.2929	977.9006
"ACOT11"	458.3234	174.6988	294.6588	1.995	38.0422	83.2848	992.0192	79.198	15.5694	209.3249	41.3467	181.124	205.8817	307.7617	85.2152	60.931	9.7591	13.821	854.8287
"ACOT13"	755.0107	282.9116	331.6973	503.581	852.5264	673.6808	512.7175	195.0627	465.5961	561.1608	359.0667	633.3015	1060.7305	699.8553	373.251	759.6768	736.0606	746.855	389
"ACOT2"	379.0497	664.6586	324.6291	277.0574	387.4247	572.219	171.0794	447.619	322.5089	305.9738	605.4341	389.6503	118.8906	461.6498	183.2126	317.4237	626.6511	431.2332	603.3149
"ACOT4"	141.5043	217.8715	76.8546	2.7431	36.5211	28.2469	27.9313	9.0226	23.5765	57.3094	70.8801	141.9793	80.7954	32.8027	25.5646	108.9901	13.986	108.5016	167.4033
"ACOT7"	4208.1903	976.9076	2115.4303	2845.3865	1254.5181	16525.3349	4857.7248	10393.985	1312.2776	6110.2477	4822.7998	4161.0848	1199.7907	15881.3314	1371.5381	4711.2359	2314.6853	5734.9857	8329.2818
"ACOT8"	796.0498	644.99	518.1988	328.9252	235.0828	433.5149	388.5743	1019.0426	465.7874	537.0617	626.2906	196.0512	642.9597	1280.1785	536.9578	1030.4894	433.4771	440.0797	723.232
"ACOT9"	690.4728	655.6225	446.5875	668.3292	419.4277	1146.4764	610.998	725.3133	302.4911	1220.4954	577.0821	582.3616	643.8514	849.9759	575.2024	625.3008	639.8601	612.5314	702.2099
"ACOX1"	2173.2788	474.8996	1212.368	1520.6983	1084.3373	1001.456	2063.57	519.3283	604.5374	1411.8504	516.326	1015.8529	528.3098	631.4809	706.4593	832.1911	909.6465	1926.4893	485.1326
"ACOX2"	87.2326	76.3052	70.9199	2.7431	123.1175	21.8404	7.2738	6.015	14.2349	16.9985	15.948	2.8184	3.7677	6.7535	24.7124	16.7065	6.216	5.5464	9.3923
"ACOX3"	304.6036	472.8916	365.2819	250.8728	359.9398	225.6843	434.6814	342.3559	247.7758	457.018	519.7874	434.0409	346.2062	454.4139	383.4683	331.7436	327.8943	397.2615	619.8895
"ACOXL"	2.8415	56.2249	1.1869	0	1.1295	0.2912	2.9095	3.5088	2.669	5.3424	6.4973	0	1.2559	0.9648	1.2782	5.5688	0.3885	0.6933	1.105
