"Gene"	"TCGA_TCGA-D9-A148"	"TCGA_TCGA-DA-A3F2"	"TCGA_TCGA-EE-A2GS"	"TCGA_TCGA-EE-A3JI"	"TCGA_TCGA-ER-A2NF"	"TCGA_TCGA-ER-A2NG"	"TCGA_TCGA-FR-A3YN"	"TCGA_TCGA-FR-A3YO"	"TCGA_TCGA-FR-A69P"	"TCGA_TCGA-FR-A7U9"	"TCGA_TCGA-FR-A8YD"	"TCGA_TCGA-GN-A4U4"	"TCGA_TCGA-GN-A4U9"	"TCGA_TCGA-GN-A8LK"	"TCGA_TCGA-GN-A8LN"	"TCGA_TCGA-QB-AA9O"	"TCGA_TCGA-WE-A8K5"	"TCGA_TCGA-WE-AAA0"	"TCGA_TCGA-WE-AAA4"
"MND1"	23.2999	8.0321	146.5875	99.5012	39.9096	122.3063	22.4033	44.1103	185.9431	193.7834	128.7655	122.6024	424.4898	54.5104	59.6506	88.3058	286.7133	70.7167	26.5193
"MNDA"	41.7693	293.1727	97.3294	91.5212	66.2651	298.1945	89.613	20.0501	54.2705	522.0981	18.9014	16.2061	100.8896	2.8944	111.2058	175.0206	160.4507	85.276	186.1878
"MNS1"	30.1194	4.0161	143.0267	124.4389	20.7078	66.3949	76.2293	14.5363	144.573	595.4347	37.8027	117.6702	421.978	79.5948	122.2838	43.7551	170.9402	110.9282	3.8674
"MNT"	813.2235	1340.3614	777.7448	846.6334	1179.5934	725.1019	677.3349	902.2556	1350.9786	453.6183	2207.9149	896.6185	630.0366	1308.2489	1034.9382	824.1878	833.3333	800.0693	1420.9945
"MOAP1"	933.9853	275.1004	1451.632	563.591	585.8434	952.5335	1185.627	459.6491	2415.9253	211.2676	758.417	2286.4652	694.9241	480.9455	893.055	1976.1415	913.7529	1700.6673	601.105
"MOB2"	585.6232	1423.6948	566.1721	517.207	601.2801	478.4508	338.9584	796.9925	252.2242	672.6566	777.3184	491.4667	574.7776	2162.5663	870.0469	1013.5283	493.784	974.0879	858.5635
"MOCOS"	792.4809	39.1566	105.0445	42.1446	87.7259	570.763	232.1792	418.5464	93.8612	367.1685	50.2067	182.1421	17.1638	149.5417	107.7972	517.9018	40.7925	909.2642	237.0166
"MOCS1"	1112.2182	471.4558	607.7596	250.7506	827.8878	625.0903	519.1475	1618.9373	314.4262	374.6625	894.7903	247.287	330.7755	1335.0314	774.7934	2265.8642	307.1639	372.9231	945.1768
"MOCS2"	468.5554	161.6466	676.2611	759.601	341.491	656.9598	691.8825	153.3835	342.0819	669.7426	481.394	667.6197	579.3825	409.5514	291.862	665.8738	674.8252	650.663	203.3149
"MOCS3"	455.2006	197.7912	273.2938	328.4289	282.3795	336.6337	309.2814	203.5088	607.6512	208.3536	599.5275	258.2402	709.5761	273.999	477.2049	362.7699	229.6037	179.565	313.2597
"MOGS"	3180.4372	3405.6225	1427.8932	1475.5611	1186.747	2446.7094	3314.5185	10250.6266	1067.6157	2112.1904	2423.5086	1333.1255	1646.8864	2065.6054	2179.3779	1427.2133	1550.5051	2204.3505	3292.2652
"MON1A"	466.5664	514.0562	553.4125	312.2195	208.5843	287.1287	405.8772	1179.9499	223.3096	454.5896	716.4796	231.8173	222.7106	677.7617	372.8164	385.8408	273.5043	393.4483	765.1934
"MON1B"	606.0817	969.8795	820.178	291.0224	584.7139	1095.2242	748.9089	944.8622	1166.8149	468.1884	779.0727	551.0064	450.4448	449.59	832.9783	522.6751	395.8819	724.1529	929.8343
"MON2"	896.1939	226.9076	793.7685	696.7581	494.7289	1218.4042	1207.7393	306.7669	854.9822	426.9063	418.7832	1016.4025	751.439	224.3126	978.6962	490.8532	894.3279	673.5419	313.8122
"MORC2"	408.6008	704.8193	968.2493	986.0349	822.6657	1195.399	893.5118	1285.7143	1337.6335	906.2652	952.1559	1881.3134	2042.9095	1091.1722	749.4674	1021.4838	358.9744	695.0342	1478.453
"MORC3"	581.9294	133.5341	780.4154	1032.9177	960.4669	728.5964	1085.8307	76.6917	814.9466	484.7013	312.4631	1134.0726	434.1183	421.6112	664.2522	282.4196	696.1927	732.1258	172.9282
"MORC4"	635.0645	183.7349	564.9852	557.8554	224.0211	382.6441	255.4553	125.3133	298.9324	475.9592	355.5818	317.4276	832.2344	389.7733	329.7827	256.1665	564.8796	166.3922	150.8287
"MORF4L1"	4764.5466	2100.4016	4223.7389	4521.197	4730.0452	3715.7833	3737.8528	2665.1629	5609.4306	5927.1491	5559.3621	5117.9476	3459.55	5880.3666	4306.3485	2406.533	3791.7638	5030.2453	2413.8122
"MORF4L2"	3978.0327	1884.5382	4675.9644	4902.99	4498.1175	5313.9196	5211.5217	4455.1378	3231.7616	8380.2817	3316.5978	4357.3192	5912.2972	5257.5977	4845.3302	3682.5922	5102.5641	5235.809	3890.0552
"MORN1"	76.4351	9.0361	37.092	49.8753	155.497	38.4391	72.4469	70.1754	25.3559	94.7062	202.0083	89.1334	25.1177	41.4858	45.164	21.4798	22.533	30.5052	21.547
"MORN2"	428.2068	65.261	350.4451	138.6534	173.5693	185.7892	515.5659	367.4185	208.6299	380.2817	200.2363	178.6191	496.9126	630.4872	280.784	320.6059	226.4957	288.0666	260.221
"MORN3"	2.8415	10.0402	6.2315	0	2.259	5.2417	2.9095	3.5088	3.1139	5.8281	12.9947	2.4661	7.1167	0.4824	3.8347	11.9332	1.554	12.4794	3.3149
"MORN4"	179.0115	65.261	94.362	186.5337	151.3554	108.6197	237.7073	138.3459	121.8861	179.6989	209.0963	225.4758	354.9974	247.4674	201.1078	634.0518	43.9005	269.0008	61.8785
